"","No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station","Date"
"2095",2095,2013,5,27,6,57,48,9,36,400,14,16.7,1003.7,16.2,0,"NE",1.3,"Aotizhongxin",2013-05-27
"2096",2096,2013,5,27,7,52,29,8,40,400,15,16.8,1004.3,16,0,"E",0.9,"Aotizhongxin",2013-05-27
"2097",2097,2013,5,27,8,36,42,7,41,500,19,17.4,1003.9,16.1,0,"NE",1.9,"Aotizhongxin",2013-05-27
"2098",2098,2013,5,27,9,38,43,9,50,600,15,18.6,1003.5,16.4,0,"ENE",1.1,"Aotizhongxin",2013-05-27
"2099",2099,2013,5,27,10,57,43,9,54,800,20,19.2,1003.6,16.2,0,"N",1.2,"Aotizhongxin",2013-05-27
"2100",2100,2013,5,27,11,60,44,7,46,800,56.3533584105554,19.6,1002.5,16.2,0,"WNW",1.6,"Aotizhongxin",2013-05-27
"2101",2101,2013,5,27,12,67,407,9,54,1200,34,19.8,1001.9,16.4,0,"WSW",1.8,"Aotizhongxin",2013-05-27
"2102",2102,2013,5,27,13,73,74,3,57,1000,50,20.2,1001.3,16.2,0,"WNW",1.3,"Aotizhongxin",2013-05-27
"2103",2103,2013,5,27,14,87,99,4,56,1000,60,20.6,1000.6,16,0,"WSW",2,"Aotizhongxin",2013-05-27
"2104",2104,2013,5,27,15,83,105,8,65,1000,54,22.1,1000.6,15.9,0,"W",1.5,"Aotizhongxin",2013-05-27
"2105",2105,2013,5,27,16,86,92,9,68,1000,56,22.2,1000,16.2,0,"W",1.1,"Aotizhongxin",2013-05-27
"2106",2106,2013,5,27,17,85,95,8,67,1000,64,21.6,999.9,16.8,0,"W",0.7,"Aotizhongxin",2013-05-27
"2107",2107,2013,5,27,18,89,90,6,71,1000,61,20.6,1000.5,17,0,"SW",1,"Aotizhongxin",2013-05-27
"2108",2108,2013,5,27,19,94,95,4,67,1000,63,20.1,1000.6,16.7,0,"N",0.4,"Aotizhongxin",2013-05-27
"2109",2109,2013,5,27,20,88,108,3,67,900,56,19.3,1001.3,17.6,0,"NNW",0.5,"Aotizhongxin",2013-05-27
"2110",2110,2013,5,27,21,100,110,4,78,1100,41,18.9,1000.6,17.6,0,"WSW",1,"Aotizhongxin",2013-05-27
"2111",2111,2013,5,27,22,100,152,4,97,1300,12,18.5,999.6,17.2,0,"SSE",0.5,"Aotizhongxin",2013-05-27
"2112",2112,2013,5,27,23,107,79,3,80,1500,11,19.1,999.7,17.1,0,"SSW",1.6,"Aotizhongxin",2013-05-27
"2113",2113,2013,5,28,0,94,122,3,58,1200,24,18.8,998.8,16.9,0,"SSW",1.2,"Aotizhongxin",2013-05-28
"2114",2114,2013,5,28,1,78,83,3,65,1300,16,18.5,998.8,17,0,"SW",1.8,"Aotizhongxin",2013-05-28
"2115",2115,2013,5,28,2,64,69,3,50,1500,23,18,999.1,16.8,0,"WSW",1.1,"Aotizhongxin",2013-05-28
"2116",2116,2013,5,28,3,65,82,3,52,1100,24,17.8,998.8,16.7,0,"WSW",1.2,"Aotizhongxin",2013-05-28
"2117",2117,2013,5,28,4,95,78,3,53,900,19,17.8,999.4,17,0,"W",0.6,"Aotizhongxin",2013-05-28
"2118",2118,2013,5,28,5,72,84,3,61,800,11,17.9,999.2,17.4,0.6,"N",0.5,"Aotizhongxin",2013-05-28
"2119",2119,2013,5,28,6,73,91,3,56,800,11,17.9,999.5,17.4,0.3,"NE",0.7,"Aotizhongxin",2013-05-28
"2120",2120,2013,5,28,7,79,100,3,64,900,3,18.1,1000,17.6,0.2,"W",0.9,"Aotizhongxin",2013-05-28
"2121",2121,2013,5,28,8,103,73,3,70,1000,2,18.3,1000.9,17.8,0.4,"SW",1.3,"Aotizhongxin",2013-05-28
"2122",2122,2013,5,28,9,99,111,3,71,1300,2,18.6,1001.2,17.9,0.2,"SW",0.5,"Aotizhongxin",2013-05-28
"2123",2123,2013,5,28,10,87,108,5,76,1399,2,19.1,1000.5,18.3,0.2,"ENE",1,"Aotizhongxin",2013-05-28
"2124",2124,2013,5,28,11,71,109,3,81,1000,12,20.1,1000.4,18.4,0,"WSW",1.1,"Aotizhongxin",2013-05-28
"2125",2125,2013,5,28,12,35,55,3,87,1000,12,20,1000.7,17.4,0,"WSW",1.7,"Aotizhongxin",2013-05-28
"2126",2126,2013,5,28,13,58,55,4,77,800,22,20.3,1000.3,17.5,0,"SSW",1.4,"Aotizhongxin",2013-05-28
"2127",2127,2013,5,28,14,62,63,4,90,1000,17,20.7,1000.6,17.5,0,"SW",1.9,"Aotizhongxin",2013-05-28
"2128",2128,2013,5,28,15,59,93,3,96,900,22,21.4,1000.1,17.8,0,"SW",4.1,"Aotizhongxin",2013-05-28
"2129",2129,2013,5,28,16,59,77,4,64,600,44,22.7,999,17.6,0,"SW",3,"Aotizhongxin",2013-05-28
"2130",2130,2013,5,28,17,56,95,4,55,600,40,22.3,998.8,17.2,0,"SW",3.8,"Aotizhongxin",2013-05-28
"2131",2131,2013,5,28,18,52,65,5,53,600,44,21.5,998.9,16.9,0,"SW",2.9,"Aotizhongxin",2013-05-28
"2132",2132,2013,5,28,19,44,51,4,62,500,39,20.6,999.5,17,0,"WSW",1.7,"Aotizhongxin",2013-05-28
"2133",2133,2013,5,28,20,56,93,3,71,600,28,18.5,1000.8,17,0,"SW",0.2,"Aotizhongxin",2013-05-28
"2134",2134,2013,5,28,21,72,139,3,76,700,16,18.9,1001.9,16.3,0,"NNE",1.4,"Aotizhongxin",2013-05-28
"2135",2135,2013,5,28,22,83,102,3,87,900,5,21.1,1002.5,5.4,0,"N",4.7,"Aotizhongxin",2013-05-28
"2136",2136,2013,5,28,23,74,93,3,107,900,2,22.5,1003,0.9,0,"NNW",2.7,"Aotizhongxin",2013-05-28
"2137",2137,2013,5,29,0,54,93,5,68,500,25,22.1,1003.6,2.2,0,"N",3.9,"Aotizhongxin",2013-05-29
"2138",2138,2013,5,29,1,34,174,3,22,200,55,21,1003.9,4.1,0,"NNW",2.3,"Aotizhongxin",2013-05-29
"2139",2139,2013,5,29,2,14,96,3,27,200,53,20,1004.4,4.9,0,"N",1.7,"Aotizhongxin",2013-05-29
"2140",2140,2013,5,29,3,7,56,4,25,200,53,20.2,1004.5,4.6,0,"NNW",4,"Aotizhongxin",2013-05-29
"2141",2141,2013,5,29,4,5,35,4,25,200,50,19.6,1004.8,5.3,0,"NE",1.9,"Aotizhongxin",2013-05-29
"2142",2142,2013,5,29,5,6,26,5,23,200,49,18.9,1005.6,6,0,"N",1.2,"Aotizhongxin",2013-05-29
"2143",2143,2013,5,29,6,7,21,4,23,200,47,18.4,1006.2,7.8,0,"NE",1.2,"Aotizhongxin",2013-05-29
"2144",2144,2013,5,29,7,10,24,5,34,200,38,21.5,1006.4,5,0,"NNW",2.7,"Aotizhongxin",2013-05-29
"2145",2145,2013,5,29,8,7,31,4,32,300,46,23.7,1006,4.1,0,"N",3.5,"Aotizhongxin",2013-05-29
"2146",2146,2013,5,29,9,7,21,4,18,200,63,24.8,1005.8,3.4,0,"NNW",2.8,"Aotizhongxin",2013-05-29
"2147",2147,2013,5,29,10,6,27,5,20,300,70,25.8,1005.1,4.3,0,"NW",2.7,"Aotizhongxin",2013-05-29
"2148",2148,2013,5,29,11,9,11,6,14,200,82,26.8,1004.7,1.2,0,"WNW",3.5,"Aotizhongxin",2013-05-29
"2149",2149,2013,5,29,12,8,16,4,14,200,94,27.9,1004.4,0.6,0,"WNW",3.3,"Aotizhongxin",2013-05-29
"2150",2150,2013,5,29,13,9,23,3,13,200,106,28.6,1003.3,0.3,0,"W",3.1,"Aotizhongxin",2013-05-29
"2151",2151,2013,5,29,14,8,40,3,12,200,113,29.5,1002.9,1,0,"NW",3,"Aotizhongxin",2013-05-29
"2152",2152,2013,5,29,15,8,38,4,13,200,117,30.4,1002.3,-0.1,0,"WNW",2.5,"Aotizhongxin",2013-05-29
"2153",2153,2013,5,29,16,13,39,5,14,300,120,30.3,1002.1,-0.2,0,"W",2.4,"Aotizhongxin",2013-05-29
"2154",2154,2013,5,29,17,5,45,4,17,300,118,30.1,1001.7,-0.3,0,"WSW",2.7,"Aotizhongxin",2013-05-29
"2155",2155,2013,5,29,18,13,22,4,21,300,116,27.2,1001.8,5.5,0,"SW",4.7,"Aotizhongxin",2013-05-29
"2156",2156,2013,5,29,19,18,117,4,48,300,109,25.4,1002.2,6.6,0,"SW",3.9,"Aotizhongxin",2013-05-29
"2157",2157,2013,5,29,20,18,117,4,48,300,116,23.7,1002.5,7.7,0,"SW",2.3,"Aotizhongxin",2013-05-29
"2158",2158,2013,5,29,21,27,123,11,55,400,94,23.3,1002.7,8.2,0,"SSW",2.7,"Aotizhongxin",2013-05-29
"2159",2159,2013,5,29,22,33,115,17,76,500,64,19.9,1002.9,10,0,"SSW",0.7,"Aotizhongxin",2013-05-29
"2160",2160,2013,5,29,23,37,81,14,94,500,42,16.8,1003,10.4,0,"WSW",0,"Aotizhongxin",2013-05-29
"2161",2161,2013,5,30,0,39,122,14,116,500,16,15.2,1003,11.6,0,"WSW",0,"Aotizhongxin",2013-05-30
"2162",2162,2013,5,30,1,41,125,14,120,500,7,14.1,1002.7,10.5,0,"ESE",0.4,"Aotizhongxin",2013-05-30
"2163",2163,2013,5,30,2,44,66,13,115,500,5,13.6,1002.9,11.8,0,"NW",0,"Aotizhongxin",2013-05-30
"2164",2164,2013,5,30,3,43,138,14,108,600,4,13.9,1002.9,8.7,0,"ENE",0.6,"Aotizhongxin",2013-05-30
"2165",2165,2013,5,30,4,48,116,18,103,700,4,14.3,1003.4,9.7,0,"ENE",0.7,"Aotizhongxin",2013-05-30
"2166",2166,2013,5,30,5,44,180,20,97,600,3,14.4,1003.6,9.8,0,"N",0.4,"Aotizhongxin",2013-05-30
"2167",2167,2013,5,30,6,41,105,21,91,500,6,17.2,1004,5.8,0,"E",1.1,"Aotizhongxin",2013-05-30
"2168",2168,2013,5,30,7,31,84,21,70,400,24,20.4,1004.2,5.6,0,"NE",1.7,"Aotizhongxin",2013-05-30
"2169",2169,2013,5,30,8,39,149,20,75,500,29,24.1,1003.9,8.1,0,"NE",0.8,"Aotizhongxin",2013-05-30
"2170",2170,2013,5,30,9,47,151,19,85,500,39,26.4,1002.7,6.9,0,"NNW",1,"Aotizhongxin",2013-05-30
"2171",2171,2013,5,30,10,56,129,24,111,800,42,28.5,1002.1,8.2,0,"SW",1.6,"Aotizhongxin",2013-05-30
"2172",2172,2013,5,30,11,55,132,21,101,700,62,30.6,1001,8.3,0,"SSW",1.5,"Aotizhongxin",2013-05-30
"2173",2173,2013,5,30,12,78,137,20,122,800,96,32.2,999.8,10.8,0,"SSW",2.4,"Aotizhongxin",2013-05-30
"2174",2174,2013,5,30,13,107,171,22,144,900,140,33,998.9,8.4,0,"SSW",3.3,"Aotizhongxin",2013-05-30
"2175",2175,2013,5,30,14,76,134,21,72,600,208,33.4,998.3,5.8,0,"SW",4.3,"Aotizhongxin",2013-05-30
"2176",2176,2013,5,30,15,76,134,21,72,1262.94514539774,193.851,33.7,997.8,4.4,0,"SW",5.9,"Aotizhongxin",2013-05-30
"2177",2177,2013,5,30,16,38,134,16,32,400,210,33.3,997.5,5.8,0,"WSW",5.9,"Aotizhongxin",2013-05-30
"2178",2178,2013,5,30,17,38,134,16,33,1262.94514539774,205.2036,32.2,997.2,9.1,0,"SW",3.7,"Aotizhongxin",2013-05-30
"2179",2179,2013,5,30,18,54,157,20,48,500,200,30.5,997.3,9.4,0,"SSW",3.2,"Aotizhongxin",2013-05-30
"2180",2180,2013,5,30,19,68,212,26,50,600,206,29.6,997.9,9.7,0,"SW",5.1,"Aotizhongxin",2013-05-30
"2181",2181,2013,5,30,20,65,140,22,52,900,194,28.2,998,10.8,0,"SW",5.1,"Aotizhongxin",2013-05-30
"2182",2182,2013,5,30,21,67,185,28,47,1100,171,27.3,998,10.5,0,"SW",4.8,"Aotizhongxin",2013-05-30
"2183",2183,2013,5,30,22,66,155,35,48,900,149,26.2,997.7,10.8,0,"SW",2.3,"Aotizhongxin",2013-05-30
"2184",2184,2013,5,30,23,63,157,32,45,700,140,25.5,997.5,9.7,0,"WSW",3,"Aotizhongxin",2013-05-30
"2185",2185,2013,5,31,0,54,118,32,46,600,122,24.2,997.3,10.1,0,"WSW",1.9,"Aotizhongxin",2013-05-31
"2186",2186,2013,5,31,1,49,134,29,50,500,106,23.1,997.6,10.5,0,"SW",2.2,"Aotizhongxin",2013-05-31
"2187",2187,2013,5,31,2,45,122,23,50,400,94,19.2,997.5,12,0,"SW",1.2,"Aotizhongxin",2013-05-31
"2188",2188,2013,5,31,3,47,130,20,48,400,92,18.4,997.3,12.8,0,"WSW",0.6,"Aotizhongxin",2013-05-31
"2189",2189,2013,5,31,4,54,138,21,56,500,78,18.4,997.6,13.7,0,"SSW",1.1,"Aotizhongxin",2013-05-31
"2190",2190,2013,5,31,5,62,131,19,54,500,68,20.1,998.4,14.5,0,"WSW",1.8,"Aotizhongxin",2013-05-31
"2191",2191,2013,5,31,6,75,163,17,55,600,60,20.5,998.4,15.1,0,"SW",1.6,"Aotizhongxin",2013-05-31
"2192",2192,2013,5,31,7,90,117,20,57,700,56,21.8,998.8,14.9,0,"W",1,"Aotizhongxin",2013-05-31
"2193",2193,2013,5,31,8,98,201,28,68,1000,52,24.5,998.3,14.9,0,"ENE",0.7,"Aotizhongxin",2013-05-31
"2194",2194,2013,5,31,9,101,161,37,75,900,59,25.3,998.1,14.7,0,"NW",1,"Aotizhongxin",2013-05-31
"2195",2195,2013,5,31,10,108,162,43,68,800,84,26.3,998,16.2,0,"SSW",1.6,"Aotizhongxin",2013-05-31
"2196",2196,2013,5,31,11,108,161,44,68,900,98,26.9,997.4,15.9,0,"SSW",1.8,"Aotizhongxin",2013-05-31
"2197",2197,2013,5,31,12,114,179,41,58,800,137,28.3,997,16.9,0,"SW",3.1,"Aotizhongxin",2013-05-31
"2198",2198,2013,5,31,13,117,179,44,47,900,186,28.7,995.8,17.6,0,"SSW",2.9,"Aotizhongxin",2013-05-31
"2199",2199,2013,5,31,14,115,168,54,46,1100,198,29.3,995.2,17.2,0,"SSW",2.2,"Aotizhongxin",2013-05-31
"2200",2200,2013,5,31,15,116,176,67,46,1300,213,29,994.7,16.9,0,"SSW",3,"Aotizhongxin",2013-05-31
"2201",2201,2013,5,31,16,114,169,71,49,1300,223,28.3,994.7,17.2,0,"SSW",3.2,"Aotizhongxin",2013-05-31
"2202",2202,2013,5,31,17,115,169,72,50,1262.94514539774,220.4118,27.2,994.7,17.1,0,"SW",4.5,"Aotizhongxin",2013-05-31
"2203",2203,2013,5,31,18,117,180,43,55,1200,205,26,995.3,17.4,0,"SW",2.8,"Aotizhongxin",2013-05-31
"2204",2204,2013,5,31,19,115,186,23,50,1000,191,25.4,996,17.8,0,"SW",1.5,"Aotizhongxin",2013-05-31
"2205",2205,2013,5,31,20,118,182,10,41,900,173,24.4,997.4,18.1,0,"S",1.2,"Aotizhongxin",2013-05-31
"2206",2206,2013,5,31,21,118,173,7,38,700,150,23.8,997.3,18,0,"SSW",0.7,"Aotizhongxin",2013-05-31
"2207",2207,2013,5,31,22,113,156,5,44,700,118,22.3,997.6,18.1,0,"SSW",0,"Aotizhongxin",2013-05-31
"2208",2208,2013,5,31,23,110,149,4,49,700,95,20.9,997.9,18.3,0,"NW",0.6,"Aotizhongxin",2013-05-31
"2209",2209,2013,6,1,0,115,152,4,54,700,79,20,998,18.5,0,"WSW",0,"Aotizhongxin",2013-06-01
"2210",2210,2013,6,1,1,114,147,3,59,800,60,19.5,998.5,18.5,0,"NNW",0.5,"Aotizhongxin",2013-06-01
"2211",2211,2013,6,1,2,123,176,3,90,800,28,18.5,998.5,17.3,0,"NNE",0.8,"Aotizhongxin",2013-06-01
"2212",2212,2013,6,1,3,135,169,3,118,900,8,18.2,999.1,17,0,"NE",0.8,"Aotizhongxin",2013-06-01
"2213",2213,2013,6,1,4,127,219,4,117,1000,2,18.4,999.9,17.2,0,"NE",0.9,"Aotizhongxin",2013-06-01
"2214",2214,2013,6,1,5,133,216,5,115,1000,2,19,1001,17.1,0,"NNE",1.3,"Aotizhongxin",2013-06-01
"2215",2215,2013,6,1,6,139,216,6,110,1000,3,20.5,1001.5,16.5,0,"NNE",1.7,"Aotizhongxin",2013-06-01
"2216",2216,2013,6,1,7,134,218,12,101,900,8,22.7,1001.9,15,0,"NNE",1.8,"Aotizhongxin",2013-06-01
"2217",2217,2013,6,1,8,124,193,20,86,800,42,26.7,1001.9,5.6,0,"NNE",2.4,"Aotizhongxin",2013-06-01
"2218",2218,2013,6,1,9,99,194,36,58,600,80,28.6,1001.9,6,0,"ESE",1.5,"Aotizhongxin",2013-06-01
"2219",2219,2013,6,1,10,92,69,22,42,500,102,29.8,1001.6,0.4,0,"ENE",2.1,"Aotizhongxin",2013-06-01
"2220",2220,2013,6,1,11,53,44,9,23,400,119,30.8,1001.2,-0.8,0,"NNW",1.8,"Aotizhongxin",2013-06-01
"2221",2221,2013,6,1,12,27,27,5,19,300,123,30.2,1000.9,0.7,0,"NNE",0.7,"Aotizhongxin",2013-06-01
"2222",2222,2013,6,1,13,27,34,3,18,300,139,29.9,1000.4,1.3,0,"E",0.9,"Aotizhongxin",2013-06-01
"2223",2223,2013,6,1,14,18,50,4,25,300,150,30.6,999.8,8.3,0,"SSW",0.5,"Aotizhongxin",2013-06-01
"2224",2224,2013,6,1,15,23,50,4,29,300,145,30.5,1000.4,5.7,0,"ESE",1.7,"Aotizhongxin",2013-06-01
"2225",2225,2013,6,1,16,16,38,4,28,300,146,29.7,1001,5,0,"N",3.5,"Aotizhongxin",2013-06-01
"2226",2226,2013,6,1,17,17,39,3,26,200,139,27.9,1001.1,7.2,0,"NNE",2.7,"Aotizhongxin",2013-06-01
"2227",2227,2013,6,1,18,3,140,4,27,300,117,26.3,1002.2,8.3,0,"NE",0.6,"Aotizhongxin",2013-06-01
"2228",2228,2013,6,1,19,10,37,4,28,200,100,24,1001.7,12.6,0,"E",0.5,"Aotizhongxin",2013-06-01
"2229",2229,2013,6,1,20,20,79,3,31,300,96,24.8,1002.2,9.5,0,"SSE",2.2,"Aotizhongxin",2013-06-01
"2230",2230,2013,6,1,21,48,150,14,107,800,54,23.5,1002.4,7.1,0,"S",1.2,"Aotizhongxin",2013-06-01
"2231",2231,2013,6,1,22,41,149,25,76,500,70,21.4,1002.9,10.8,0,"WSW",0.5,"Aotizhongxin",2013-06-01
"2232",2232,2013,6,1,23,41,146,22,78,500,66,20.7,1002.9,11.3,0,"SE",0.6,"Aotizhongxin",2013-06-01
"2233",2233,2013,6,2,0,54,91,28,67,700,76,20.6,1001.9,11.8,0,"SE",2,"Aotizhongxin",2013-06-02
"2234",2234,2013,6,2,1,61,104,35,84,800,48,19.7,1001.9,13.6,0,"SSE",1.2,"Aotizhongxin",2013-06-02
"2235",2235,2013,6,2,2,60,101,32,88,700,34,18,1001.4,14.1,0,"W",0.5,"Aotizhongxin",2013-06-02
"2236",2236,2013,6,2,3,64,109,33,78,900,38,17.2,1001.4,13.5,0,"NNE",0.8,"Aotizhongxin",2013-06-02
"2237",2237,2013,6,2,4,70,119,32,83,1200,24,17.7,1001.5,11.5,0,"ENE",0.7,"Aotizhongxin",2013-06-02
"2238",2238,2013,6,2,5,119,212,26,70,1500,34,17.3,1001.4,13.4,0,"ESE",0,"Aotizhongxin",2013-06-02
"2239",2239,2013,6,2,6,151,260,24,79,1800,24,19.7,1001.7,12.5,0,"SW",0.9,"Aotizhongxin",2013-06-02
"2240",2240,2013,6,2,7,202,244,17,71,1800,36,20.5,1001,14.2,0,"SW",0.9,"Aotizhongxin",2013-06-02
"2241",2241,2013,6,2,8,211,242,16,62,1700,56,21.4,1001.2,15.5,0,"NW",0.9,"Aotizhongxin",2013-06-02
"2242",2242,2013,6,2,9,230,234,17,62,1800,67,21.6,1000.7,16.5,0,"NNE",1.6,"Aotizhongxin",2013-06-02
"2243",2243,2013,6,2,10,228,230,11,68,2299,52,22.1,1000.1,17.7,0,"NNE",0.9,"Aotizhongxin",2013-06-02
"2244",2244,2013,6,2,11,232,238,6,75,2600,42,22.7,999.7,17.6,0,"SE",1.8,"Aotizhongxin",2013-06-02
"2245",2245,2013,6,2,12,250,267,6,74,2700,47,24.1,998.2,18.3,0,"SE",1.2,"Aotizhongxin",2013-06-02
"2246",2246,2013,6,2,13,221,249,8,67,2600,71,25.3,997.9,18.7,0,"ESE",1.3,"Aotizhongxin",2013-06-02
"2247",2247,2013,6,2,14,229,255,14,62,2600,102,25.6,997.1,18.8,0,"SE",1.9,"Aotizhongxin",2013-06-02
"2248",2248,2013,6,2,15,235,263,11,57,1899,116,25.6,996.4,19,0,"E",1.5,"Aotizhongxin",2013-06-02
"2249",2249,2013,6,2,16,184,264,9,49,1500,115,25.8,995.9,19.4,0,"ESE",1.5,"Aotizhongxin",2013-06-02
"2250",2250,2013,6,2,17,152,138,8,54,1200,122,25.9,995.7,19.3,0,"ENE",1.3,"Aotizhongxin",2013-06-02
"2251",2251,2013,6,2,18,121,140,7,61,1000,137,24.4,996.3,18.1,0,"N",2,"Aotizhongxin",2013-06-02
"2252",2252,2013,6,2,19,121,134,6,57,1000,140,23.4,996.8,18.5,0,"NE",0.8,"Aotizhongxin",2013-06-02
"2253",2253,2013,6,2,20,121,133,6,69,1000,112,22.9,997.7,18.4,0,"NNE",1.2,"Aotizhongxin",2013-06-02
"2254",2254,2013,6,2,21,122,134,6,66,1000,91,22.8,998.3,18.3,0,"NNE",1.1,"Aotizhongxin",2013-06-02
"2255",2255,2013,6,2,22,118,118,6,63,1300,78,21.8,998.3,18,0,"NNE",0.5,"Aotizhongxin",2013-06-02
"2256",2256,2013,6,2,23,133,134,5,59,1500,74,20.9,998,18.1,0,"E",0.6,"Aotizhongxin",2013-06-02
"2257",2257,2013,6,3,0,133,134,5,59,1500,74,20.3,997.7,17.9,0,"NNE",0.4,"Aotizhongxin",2013-06-03
"2258",2258,2013,6,3,1,126,146,3,53,1399,67,19.7,997.4,17.8,0,"ENE",0.1,"Aotizhongxin",2013-06-03
"2259",2259,2013,6,3,2,129,155,4,66,1399,44,18.8,997.4,17.6,0,"E",0.1,"Aotizhongxin",2013-06-03
"2260",2260,2013,6,3,3,136,160,6,96,1500,2,18.3,997.4,17.5,0,"NNE",0.7,"Aotizhongxin",2013-06-03
"2261",2261,2013,6,3,4,166,182,6,109,1500,2,17.8,998.4,17.2,0,"S",0.5,"Aotizhongxin",2013-06-03
"2262",2262,2013,6,3,5,174,197,6,103,1600,2,18.2,999.2,17.7,0,"ENE",0.7,"Aotizhongxin",2013-06-03
"2263",2263,2013,6,3,6,167,169,5,91,1700,8,19.7,999.7,19,0,"SW",0.5,"Aotizhongxin",2013-06-03
"2264",2264,2013,6,3,7,162,172,6,76,1600,24,22.2,1000.1,18.4,0,"NNW",0.6,"Aotizhongxin",2013-06-03
"2265",2265,2013,6,3,8,174,208,6,92,1700,28,25.3,1000.2,19,0,"NNE",1.3,"Aotizhongxin",2013-06-03
"2266",2266,2013,6,3,9,180,213,10,77,1700,67,27,1000.4,18.3,0,"E",1.4,"Aotizhongxin",2013-06-03
"2267",2267,2013,6,3,10,174,176,19,64,1600,109,29.2,1000.4,16.7,0,"SE",0.8,"Aotizhongxin",2013-06-03
"2268",2268,2013,6,3,11,136,176,34,40,1200,159,30.5,999.5,14.2,0,"SE",1.2,"Aotizhongxin",2013-06-03
"2269",2269,2013,6,3,12,104,88,36,32,1000,186,32.1,998.4,10.7,0,"SE",2.2,"Aotizhongxin",2013-06-03
"2270",2270,2013,6,3,13,70,70,27,26,800,191,32.9,998.5,10.3,0,"NE",1.3,"Aotizhongxin",2013-06-03
"2271",2271,2013,6,3,14,53,82,17,21,600,190,33.1,998.6,12.1,0,"SW",1.9,"Aotizhongxin",2013-06-03
"2272",2272,2013,6,3,15,50,54,14,21,500,201,32.3,998.1,15.8,0,"WSW",3.9,"Aotizhongxin",2013-06-03
"2273",2273,2013,6,3,16,56,97,14,36,600,221,31.2,998.7,14.8,0,"SSW",3.5,"Aotizhongxin",2013-06-03
"2274",2274,2013,6,3,17,62,240,20,51,900,286,30.6,999,14.2,0,"S",1.9,"Aotizhongxin",2013-06-03
"2275",2275,2013,6,3,18,105,171,23,45,1000,285,29,999.6,14.8,0,"SW",1.1,"Aotizhongxin",2013-06-03
"2276",2276,2013,6,3,19,75,78,21,53,1000,240,25.9,1000.1,14,0,"S",0.7,"Aotizhongxin",2013-06-03
"2277",2277,2013,6,3,20,89,148,16,80,1100,176,22.8,1000.9,15.6,0,"W",0.4,"Aotizhongxin",2013-06-03
"2278",2278,2013,6,3,21,100,199,15,164,1300,72,21.6,1001.5,16.5,0,"WNW",0,"Aotizhongxin",2013-06-03
"2279",2279,2013,6,3,22,111,217,18,214,1600,20,20.9,1001.7,16.1,0,"E",0,"Aotizhongxin",2013-06-03
"2280",2280,2013,6,3,23,111,217,18,221,1600,20,20.4,1002.2,16.2,0,"SE",0.2,"Aotizhongxin",2013-06-03
"2281",2281,2013,6,4,0,147,426,25,218,2299,7,19.8,1002.1,17.4,0,"N",0.2,"Aotizhongxin",2013-06-04
"2282",2282,2013,6,4,1,135,311,22,228,2200,6,19.6,1002.6,17.6,0,"E",0.6,"Aotizhongxin",2013-06-04
"2283",2283,2013,6,4,2,138,284,23,203,1800,6,19.8,1003.1,16.2,0,"ENE",0.7,"Aotizhongxin",2013-06-04
"2284",2284,2013,6,4,3,135,274,25,178,1600,6,20.1,1004.3,15.9,0,"NE",1,"Aotizhongxin",2013-06-04
"2285",2285,2013,6,4,4,150,271,28,141,1600,17,21.9,1004.7,18.3,0,"NE",0.8,"Aotizhongxin",2013-06-04
"2286",2286,2013,6,4,5,203,262,16,51,1600,82,21.2,1005.9,17.2,0,"ESE",0.9,"Aotizhongxin",2013-06-04
"2287",2287,2013,6,4,6,175,191,12,49,1899,116,21.7,1006.5,17.5,0,"ESE",1.9,"Aotizhongxin",2013-06-04
"2288",2288,2013,6,4,7,182,207,12,45,2200,137,21.6,1007,17.2,0,"ESE",2.6,"Aotizhongxin",2013-06-04
"2289",2289,2013,6,4,8,170,174,12,62,2000,109,21.6,1006.9,17.2,0,"SE",1.7,"Aotizhongxin",2013-06-04
"2290",2290,2013,6,4,9,148,170,13,60,1800,99,21.7,1007.8,17.1,0,"SE",1.8,"Aotizhongxin",2013-06-04
"2291",2291,2013,6,4,10,152,172,12,68,2000,84,21.7,1007.6,16.9,0,"E",1.2,"Aotizhongxin",2013-06-04
"2292",2292,2013,6,4,11,135,151,15,69,2000,79,21.8,1008.2,16.5,0,"SE",1.3,"Aotizhongxin",2013-06-04
"2293",2293,2013,6,4,12,128,141,15,72,1600,71,22.1,1007.1,15.9,0,"ESE",2.2,"Aotizhongxin",2013-06-04
"2294",2294,2013,6,4,13,117,142,14,70,1899,64,20.9,1006.6,17.3,0,"NE",1.7,"Aotizhongxin",2013-06-04
"2295",2295,2013,6,4,14,121,169,14,79,2299,46,19.4,1007,16.1,0,"ENE",1.5,"Aotizhongxin",2013-06-04
"2296",2296,2013,6,4,15,98,37,8,55,1700,57,19.9,1007.1,16.1,0,"NE",2.3,"Aotizhongxin",2013-06-04
"2297",2297,2013,6,4,16,80,51,6,55,1300,64,20.5,1006,16.3,0,"ENE",1.8,"Aotizhongxin",2013-06-04
"2298",2298,2013,6,4,17,80,57,8,52,1100,74,20.2,1006,16.2,0,"NNW",0.9,"Aotizhongxin",2013-06-04
"2299",2299,2013,6,4,18,73,60,9,60,1100,68,20.1,1006.7,16.7,0,"E",0.7,"Aotizhongxin",2013-06-04
